run,temp,temppoor,temp2,temp2poor,prec,precpoor,prec2,prec2poor
561,.0182437,.0094495,-.0004564,-.0006092,-.0000207,.0000161,4.81e-09,-1.05e-08
562,.0012131,.0296636,-.0001449,-.0006805,2.92e-06,.0000306,4.53e-09,-7.42e-09
563,.0001009,-.002668,-.0000859,-.0001863,.0000233,.0000269,-8.54e-09,-6.06e-09
564,.0073691,.036913,-.0001902,-.0011129,.0000193,.0000238,-3.28e-09,-5.35e-09
565,.0154879,.0391355,-.0004003,-.001169,-4.04e-06,.000047,4.85e-11,-1.43e-08
566,.0111764,.0254933,-.0002648,-.0008041,.0000113,.000037,-3.28e-09,-1.05e-08
567,.0012831,.0175,.0000567,-.0005214,2.50e-06,.0000691,-2.19e-09,-1.84e-08
568,.0137783,.0422398,-.0003989,-.0009568,.00003,.0000238,-8.60e-09,-6.58e-09
569,.0055369,.0464922,-.0001798,-.0011788,1.37e-06,.0000329,-1.37e-09,-1.11e-08
570,.0112064,.0041733,-.000499,-.0002961,.0000152,.0000304,-1.75e-09,-7.53e-09
