run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
630,.0071672,.0111182,-.0055972,-.0156772,-.0011491,-.018098,-.007202,-.0013747,.0028703,.0222302,.00243,.0205455,-.0002768,-.0003983,.0002143,.0003804,.000043,.0002753,.0002606,-.0001089,-.0001455,-.000326,-.0000704,-.000477,-.0014807,.018744,.0000253,-.0006545
631,.0063048,-.0125716,-.0049784,.013173,-.0038124,-.0264292,-.001209,.0236202,-.0002399,-.0084561,.0060665,-.0006318,-.0002489,.000021,.0002346,-.0002149,.0001525,.0006149,-.0000317,-.0007159,.0001871,.000616,-.0002113,-.0002128,.0021316,-.0112955,.0000824,.0001083
632,.0168733,.0109699,-.0061245,.0172015,-.0067943,-.0334719,-.0013336,.0038762,.0022471,-.0218869,.0003274,-.0031896,-.0006822,-.000504,.000244,-.0002359,.0002116,.0006431,-.0001581,-.0001811,-8.08e-06,.0005004,.0000376,.0000353,.0051955,-.0265008,-.0003551,.000258
633,.0121128,-.0164288,-.0079454,-.0038329,-.0078596,-.0012433,-.0086757,-.0005667,.0058185,-.0004012,.011374,.0027335,-.0004118,.0000427,.0003394,.0001926,.0002737,8.91e-06,.0003239,-.0000287,-.0001694,.0001859,-.0002709,-.0000575,.0048247,-.0197395,.0000849,.0003437
634,.0075619,.0124842,-.0089131,-.0055901,-.0047258,-.0104861,-.0104824,-.0195329,.0041876,-.0050528,.0076195,.009534,-.000313,-.0005504,.0004357,.0002151,.0000723,.0002175,.000294,.0002825,-.0002676,.0001896,-.0001306,-.0002265,-.0047523,-.0186437,.0000909,.0001278
635,.0153208,-.0004155,-.0055616,.0003841,-.0047787,-.0080516,-.0029913,.0120018,-.003627,.0043303,.0032437,.003959,-.0006382,-.0002106,.000211,.0001067,.0002144,.0001523,-2.47e-06,-.0002658,.0001384,.0000804,-.0000406,-.0000452,.0016058,.012208,-.0001175,-.0001821
636,-1.64e-07,-.0007033,-.0103385,-.0083448,-.0056946,-.0234157,-.006176,.0022661,-.0008266,-.002403,.0140779,.0087873,-6.32e-06,-.0001908,.0003344,.0003115,.0000669,.0004535,.0001401,-.0001303,-.0000229,-.0000173,-.0005083,-.0001911,-.0089581,-.0238135,3.78e-06,.0002354
637,.0143082,.0055955,-.0070625,-.006173,-.0027765,-.0005207,-.0014912,-.0111385,.0061115,.0075361,.0015839,.0097438,-.0007949,-.0003996,.0003643,.0003528,.0000622,-.0001207,.0000414,.0002593,-.0003285,-.0001695,.0001314,-.0002074,.0106734,.0050431,-.0005241,-.0002851
638,.0258333,-.0019939,-.0069948,-.0059112,-.0059581,-.0266216,-.0098568,-.0105122,-.0004638,-.00258,.006045,.008405,-.001125,-.0005197,.0002235,.0003679,.0001671,.0005737,.0003086,.0002736,-.0000661,.0001871,-.0000656,-.0002303,.0086047,-.039214,-.0005575,.0006524
639,.0066751,.0565519,-.0107011,.0166754,-.0078425,-.0187393,-.0027406,-.0043331,-.0003628,.0043803,.0120552,-.0025347,-.0003119,-.0013825,.0004419,-.0001254,.000252,.0003372,-.0000761,-.0001076,.0001047,-.0000189,-.0002936,.0000388,-.0029168,.0520006,.000117,-.0012584
640,.0088999,-.0031526,-.0149133,-.0022638,-.0027986,-.029877,.0009394,.0014139,-.0006603,-.0049516,.0043966,.015272,-.0004996,-.0001855,.0007335,.0003131,.0000487,.0006082,-.0002651,-.0000738,.0000282,.0002043,-.0001939,-.0003766,-.0041363,-.0235592,-.0001482,.0004897
641,.0136091,.0037405,-.0088821,-.0004287,-.008285,-.0274475,-.0045251,.0053685,.0051802,-.005739,.0013241,.0134901,-.0004852,-.000428,.0003397,.0001247,.0001456,.0005202,.0000583,-.0002475,-.0002978,.0002649,.0001345,-.0004746,-.0015789,-.0110161,-.0001049,-.0002404
642,.0137993,-.0035744,-.0103727,-.0040063,-.0099415,-.0188251,-.0033253,.0176774,-.0082746,.0021646,.0027992,.0062912,-.0004429,-.0002839,.0004374,.0002857,.0003661,.0003947,-.0000782,-.0005425,.000456,.0001348,-.0000153,-.0001364,-.0153155,-.0002727,.0007231,-.0001477
643,.0093892,.0068623,-.009485,-.0060722,-.0089495,-.0109691,-.0065654,.0012439,-.0006556,.0084106,.0067896,.0163567,-.0004172,-.0003463,.0002578,.0002516,.0003655,.0001939,.0000988,-.000085,.0000378,-.0000131,-.0002305,-.0003477,-.0094768,.0158322,.0001123,-.0003467
644,.0066807,-.0167093,-.0097739,.000488,-.0028714,-.0309869,-.0054197,.0007616,.0035248,.0019992,.0078751,.0076757,-.0002035,.0000366,.0004613,.0001611,.0000108,.0004875,.0000887,-.0000264,-.0000678,6.26e-06,-.0002244,-.0002622,.0000155,-.0367717,.0000651,.0004028
645,.0108971,-.0092136,-.0062062,-.0014589,-.0046457,-.0256955,-.0067321,-.0065003,.0000825,-.0002918,.0036501,.0037157,-.0007351,-.0000219,.0001539,.0000675,.0001762,.0004742,.0001738,.0000893,-.0002211,.0000583,.0000256,-.0001,-.0029544,-.0394443,-.0004267,.0005674
646,.0032949,-.0092435,-.0118918,-.0014242,-.0126637,-.030139,-.006274,.0129304,-.0018679,-.0101629,.0149035,.0031929,-.0001435,-.0000731,.0003896,.0001154,.0003736,.0006045,.0000203,-.0005226,.0001505,.0003572,-.0004479,-.0002316,-.0144991,-.0348463,.0003425,.0002498
647,.0130996,-.0224726,-.0111741,-.0012774,-.0112272,-.0483877,-.0073148,-9.61e-06,.0027781,-.0185418,.0129399,.0117552,-.0008869,.0002497,.0004675,.000133,.0003421,.0009476,-.0000618,-.0001104,-.0002099,.0004014,-.0003833,-.0002548,-.0008985,-.078934,-.0007323,.0013665
648,.0253331,.009414,-.0068841,.0002351,-.006953,.0052351,.0038273,-.0044843,.0017452,-.0052632,.0006647,.0010776,-.0009638,-.0004973,.0002661,.0002147,.0003483,-.0002197,-.0003696,-.0000301,.0000415,.0003192,.000023,-.0000201,.017733,.0062143,-.0006544,-.0002334
